TCGA-A5-A0G1	TCGA-A5-A0G2	TCGA-A5-A0G5	TCGA-A5-A0G9	TCGA-A5-A0GA	TCGA-A5-A0GB	TCGA-A5-A0GD	TCGA-A5-A0GE	TCGA-A5-A0GG	TCGA-A5-A0GH	TCGA-A5-A0GI	TCGA-A5-A0GJ	TCGA-A5-A0GM	TCGA-A5-A0GN	TCGA-A5-A0GP	TCGA-A5-A0GQ	TCGA-A5-A0GR	TCGA-A5-A0GU	TCGA-A5-A0GV	TCGA-A5-A0GW	TCGA-A5-A0GX	TCGA-A5-A0R6	TCGA-A5-A0R7	TCGA-A5-A0R8	TCGA-A5-A0R9	TCGA-A5-A0RA	TCGA-A5-A0VP	TCGA-A5-A0VQ	TCGA-A5-A1OF	TCGA-A5-A1OG	TCGA-A5-A1OJ	TCGA-A5-A1OK	TCGA-AJ-A23M	TCGA-AJ-A23O	TCGA-AP-A051	TCGA-AP-A052	TCGA-AP-A053	TCGA-AP-A054	TCGA-AP-A056	TCGA-AP-A059	TCGA-AP-A05A	TCGA-AP-A05D	TCGA-AP-A05H	TCGA-AP-A05J	TCGA-AP-A05N	TCGA-AP-A05O	TCGA-AP-A05P	TCGA-AP-A0L8	TCGA-AP-A0L9	TCGA-AP-A0LD	TCGA-AP-A0LE	TCGA-AP-A0LF	TCGA-AP-A0LG	TCGA-AP-A0LH	TCGA-AP-A0LI	TCGA-AP-A0LJ	TCGA-AP-A0LL	TCGA-AP-A0LM	TCGA-AP-A0LN	TCGA-AP-A0LO	TCGA-AP-A0LP	TCGA-AP-A0LS	TCGA-AP-A0LT	TCGA-AP-A0LV	TCGA-AP-A1DH	TCGA-AP-A1DK	TCGA-AP-A1DM	TCGA-AP-A1DO	TCGA-AP-A1DP	TCGA-AP-A1DQ	TCGA-AP-A1DR	TCGA-AP-A1DV	TCGA-AP-A1E0	TCGA-AP-A1E1	TCGA-AP-A1E3	TCGA-AP-A1E4	TCGA-AW-A1PO	TCGA-AX-A05S	TCGA-AX-A05T	TCGA-AX-A05U	TCGA-AX-A05W	TCGA-AX-A05Y	TCGA-AX-A05Z	TCGA-AX-A060	TCGA-AX-A062	TCGA-AX-A063	TCGA-AX-A064	TCGA-AX-A06B	TCGA-AX-A06D	TCGA-AX-A06F	TCGA-AX-A06H	TCGA-AX-A06J	TCGA-AX-A06L	TCGA-AX-A0IS	TCGA-AX-A0IU	TCGA-AX-A0IW	TCGA-AX-A0IZ	TCGA-AX-A0J0	TCGA-AX-A0J1	TCGA-AX-A1C4	TCGA-AX-A1C5	TCGA-AX-A1C7	TCGA-AX-A1C8	TCGA-AX-A1C9	TCGA-AX-A1CA	TCGA-AX-A1CC	TCGA-AX-A1CE	TCGA-AX-A1CF	TCGA-AX-A1CI	TCGA-AX-A1CJ	TCGA-AX-A1CK	TCGA-AX-A1CN	TCGA-AX-A1CP	TCGA-AX-A1CR	TCGA-AX-A2H5	TCGA-AX-A2H8	TCGA-AX-A2HC	TCGA-AX-A2HD	TCGA-AX-A2HF	TCGA-AX-A2HG	TCGA-AX-A2HH	TCGA-AX-A2HJ	TCGA-AX-A2HK	TCGA-B5-A0JN	TCGA-B5-A0JR	TCGA-B5-A0JS	TCGA-B5-A0JT	TCGA-B5-A0JV	TCGA-B5-A0JX	TCGA-B5-A0JY	TCGA-B5-A0JZ	TCGA-B5-A0K0	TCGA-B5-A0K1	TCGA-B5-A0K2	TCGA-B5-A0K3	TCGA-B5-A0K4	TCGA-B5-A0K6	TCGA-B5-A0K7	TCGA-B5-A0K8	TCGA-B5-A0K9	TCGA-B5-A11E	TCGA-B5-A11F	TCGA-B5-A11G	TCGA-B5-A11H	TCGA-B5-A11I	TCGA-B5-A11J	TCGA-B5-A11N	TCGA-B5-A11O	TCGA-B5-A11Q	TCGA-B5-A11R	TCGA-B5-A11S	TCGA-B5-A11U	TCGA-B5-A11V	TCGA-B5-A11W	TCGA-B5-A11Y	TCGA-B5-A11Z	TCGA-B5-A121	TCGA-B5-A1MR	TCGA-B5-A1MU	TCGA-B5-A1MV	TCGA-B5-A1MW	TCGA-B5-A1MX	TCGA-B5-A1MY	TCGA-B5-A1MZ	TCGA-B5-A1N2	TCGA-BG-A0LW	TCGA-BG-A0LX	TCGA-BG-A0M0	TCGA-BG-A0M2	TCGA-BG-A0M3	TCGA-BG-A0M4	TCGA-BG-A0M6	TCGA-BG-A0M7	TCGA-BG-A0M8	TCGA-BG-A0M9	TCGA-BG-A0MA	TCGA-BG-A0MC	TCGA-BG-A0MG	TCGA-BG-A0MI	TCGA-BG-A0MO	TCGA-BG-A0MQ	TCGA-BG-A0MS	TCGA-BG-A0MT	TCGA-BG-A0MU	TCGA-BG-A0RY	TCGA-BG-A0VT	TCGA-BG-A0VV	TCGA-BG-A0VW	TCGA-BG-A0VX	TCGA-BG-A0VZ	TCGA-BG-A0W1	TCGA-BG-A0W2	TCGA-BG-A0YU	TCGA-BG-A0YV	TCGA-BG-A186	TCGA-BG-A187	TCGA-BG-A18A	TCGA-BG-A18B	TCGA-BG-A18C	TCGA-BG-A220	TCGA-BG-A221	TCGA-BG-A222	TCGA-BG-A2AD	TCGA-BG-A2AE	TCGA-BK-A0C9	TCGA-BK-A0CA	TCGA-BK-A0CB	TCGA-BK-A0CC	TCGA-BK-A139	TCGA-BK-A13C	TCGA-BK-A26L	TCGA-BS-A0T9	TCGA-BS-A0TA	TCGA-BS-A0TC	TCGA-BS-A0TD	TCGA-BS-A0TE	TCGA-BS-A0TG	TCGA-BS-A0TI	TCGA-BS-A0TJ	TCGA-BS-A0U5	TCGA-BS-A0U7	TCGA-BS-A0U8	TCGA-BS-A0UA	TCGA-BS-A0UF	TCGA-BS-A0UJ	TCGA-BS-A0UL	TCGA-BS-A0UT	TCGA-BS-A0UV	TCGA-BS-A0V4	TCGA-BS-A0V6	TCGA-BS-A0V7	TCGA-BS-A0V8	TCGA-BS-A0VI	TCGA-BS-A0WQ	TCGA-D1-A0ZN	TCGA-D1-A0ZO	TCGA-D1-A0ZP	TCGA-D1-A0ZQ	TCGA-D1-A0ZR	TCGA-D1-A0ZS	TCGA-D1-A0ZU	TCGA-D1-A0ZV	TCGA-D1-A0ZZ	TCGA-D1-A101	TCGA-D1-A102	TCGA-D1-A103	TCGA-D1-A15V	TCGA-D1-A15W	TCGA-D1-A15X	TCGA-D1-A15Z	TCGA-D1-A160	TCGA-D1-A161	TCGA-D1-A163	TCGA-D1-A165	TCGA-D1-A167	TCGA-D1-A168	TCGA-D1-A169	TCGA-D1-A16B	TCGA-D1-A16D	TCGA-D1-A16E	TCGA-D1-A16G	TCGA-D1-A16I	TCGA-D1-A16J	TCGA-D1-A16N	TCGA-D1-A16O	TCGA-D1-A16Q	TCGA-D1-A16R	TCGA-D1-A16S	TCGA-D1-A16V	TCGA-D1-A16X	TCGA-D1-A16Y	TCGA-D1-A174	TCGA-D1-A175	TCGA-D1-A176	TCGA-D1-A177	TCGA-D1-A179	TCGA-D1-A17A	TCGA-D1-A17B	TCGA-D1-A17C	TCGA-D1-A17D	TCGA-D1-A17F	TCGA-D1-A17H	TCGA-D1-A17K	TCGA-D1-A17L	TCGA-D1-A17M	TCGA-D1-A17N	TCGA-D1-A17Q	TCGA-D1-A17R	TCGA-D1-A17S	TCGA-D1-A17T	TCGA-D1-A17U	TCGA-D1-A1NS	TCGA-D1-A1NU	TCGA-D1-A1NW	TCGA-D1-A1NX	TCGA-D1-A1NY	TCGA-D1-A1NZ	TCGA-D1-A1O0	TCGA-D1-A1O5	TCGA-D1-A1O7	TCGA-D1-A1O8	TCGA-D1-A2G0	TCGA-D1-A2G5	TCGA-D1-A2G6	TCGA-DI-A0WH	TCGA-DI-A1BU	TCGA-DI-A1BY	TCGA-DI-A1C3	TCGA-DI-A1NN	TCGA-DI-A1NO	TCGA-E6-A1LX	TCGA-E6-A1LZ	TCGA-E6-A1M0	TCGA-EC-A1NJ	TCGA-EC-A1QX	TCGA-EC-A24G	TCGA-EO-A1Y5	TCGA-EO-A1Y7	TCGA-EO-A1Y8	TCGA-EY-A1G7	TCGA-EY-A1G8	TCGA-EY-A1GC	TCGA-EY-A1GD	TCGA-EY-A1GE	TCGA-EY-A1GF	TCGA-EY-A1GH	TCGA-EY-A1GI	TCGA-EY-A1GK	TCGA-EY-A1GL	TCGA-EY-A1GM	TCGA-EY-A1GO	TCGA-EY-A1GP	TCGA-EY-A1GQ	TCGA-EY-A1GR	TCGA-EY-A1GS	TCGA-EY-A1GT	TCGA-EY-A1GU	TCGA-EY-A1GV	TCGA-EY-A1GW	TCGA-EY-A1GX	TCGA-EY-A1H0	TCGA-EY-A210	TCGA-EY-A212	TCGA-EY-A214	TCGA-EY-A215	TCGA-FI-A2CX	TCGA-FI-A2CY	TCGA-FI-A2D0	TCGA-FI-A2D2	TCGA-FI-A2D4	TCGA-FI-A2D5	TCGA-FI-A2D6	TCGA-FI-A2EU	TCGA-FI-A2EW	TCGA-FI-A2EX	TCGA-FI-A2F4	TCGA-FI-A2F8	TCGA-FI-A2F9
1p	0	-0.417	0.394	0	0.958	0	0	0	0	0	0	0	0	0.954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.296	0	1.289	-0.107	0	0	0.132	0	0	0	0	0	0	0	0	0	0	0	-0.524	0	0	0	-0.276	0	0	-0.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53	0	0	0	0	0	0	0	1.737	0	0	0	0	0	0	0	0	0	0	0	0.463	0	0	0	0	0	0	-0.128	0	-0.175	0	0	-0.638	0.793	0	0	0	0	-0.476	0	0	0	0	0	0	0	0	0	0.136	0	0	0.633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.545	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0.142	0	0	0	0	0	0	0.852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.124	0	0	0	0	0	0	0	0	0	0	0	0.476	0	0	0	0	0	0	0	0	0	0	0	0.359	0	0	0	0	0	0	0	0	-0.687	-0.01	0	0	0	0	0	0	0	0	0	0	0.134	0	0	0	0	0	0.158	0	0	0	0	0.49	0	0	-0.187	-0.313
1q	0	-0.173	0	1.611	0.958	0.823	0	0	0.356	0	0.856	0	0	1.41	0	0	0	0.774	0.929	0	0.33	0	0	0	0	0	0	0	0	0.296	0.711	1.289	-0.107	1.119	1.264	0.132	0	0.899	0	0	0	0	0	0	0	0	0.889	-0.075	0	0.787	0.819	-0.276	0	0.777	0.049	0	1.742	0	0	0	0	0	0	0	0	0	0.605	1.405	1.488	0	0	0	0	1.298	0	1.53	0	0.646	0	0	0.722	0.823	0.12	1.737	0	0.754	1.654	0	0	0	0	0	0	1.433	0	0.463	0	0	1.469	0	0	0	0.049	0	0.201	0	0	-0.638	0.793	0.667	1.578	0	0	-0.476	0	0	0	0	0	0	0.849	0	0	0	1.484	0	0.633	0.817	0	0	0	0.758	0	0	0	0.794	0.808	1.358	0	1.011	0	0	0	0	0	0	0	0	2.038	1.369	1.393	0	0	0	0	1.466	0	0	0.869	0	0	0	0	1.527	0	0	0.735	0.878	0.653	0.936	0.671	0.427	0	0	0	0	0	0	0	0.743	0.838	0.71	1.441	0.837	1.545	0.819	0	0	0	0	1.413	0	0	0	0.758	0	0	0	0.17	0	0.46	0.81	0	0	0.703	0	0	0.285	0.149	0	0.155	0	0	0	0	0	0	0.312	0	0	1.289	0	0	0	0	0	1.441	0	0.684	0	0	0	0.608	0	0.632	0	0	0.655	1.516	0	0	0	0	0	0.636	0	0	0	0	0	1.358	0	0	0.401	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0.142	0.686	0	0	0	0	1.474	0.852	0	1.278	0.389	0	0	0	0	0	1.252	0.664	0	0	0	0	0	0	0	0	0	0	0.564	1.242	-0.124	0	0	0	0	1.615	1.053	1.361	0	0	0	0	0.476	0	0	0	0	0.521	0	0	0	0	1.806	0	0.359	1.687	0	0.898	0	0	0.743	0	0	1.345	0.792	1.496	0	1.031	1.457	1.828	0	0	0.994	0	0	0.134	0.862	0	0	0	0	0.158	0	0	0	0	0.49	0	1.568	-0.017	-0.313
2p	0	0.136	0	0	0	0	0	0	0	0	0	0	0	0.417	0	0	0	0.758	0.856	0	0	0	0.228	0	0	0	0	0	0	0.256	0	0	0.188	0	0	0	0	0	0	0	0.786	0	0	0	0	0	0	0.271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.339	0	0	0	0	0	0	-0.838	0	0	0	0.654	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214	1.524	0	0	0	0	0	1.019	0	0	0	0	0	0	0	0	0.812	0	0	0	0	0	0	0	0	0	0.788	0	0.252	0	0	0	0.564	0	0	0	0	0	0	0	0	0	0	0.665	0	0.489	0	0	0	0	0.214	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238	0	0	0	0	0	0.484	0	0	0.865	0.606	0	0	0.408	0	0.133	0	0	0	0	0	0	0	0	0	0	0.723	0.215	0	0	0	0	0	0	0	0	0	0	0	0	-0.47	0	0	0	0	0.601	0.648	0	0	0	0.112	0	0.222	0	0	0	0	0.544	0	0.812	0	0	0	0	0	0	0	0	0.69	0	0	0	0.265	0.734	0	0	0	0.43	1.082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.751	0	0	0	0	0	-0.135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.712	0	0	0	0	0	0.546	0	0	0	-0.253	0	0	0	0	0	0.482	0	0	0	0	0.138	0	0	0.702	0	0	0	0	0	0	0	0.867	0	0	0	0	0	0.653	0	0	0	0.634	0.341	0	0	0	0.423	0	0	0	-0.775	0	0	0	0	0.367	0	0	0	0	0.138	0.745	0	0	0	0	0	0	0	-0.323
2q	0	0	0	0	0	0	0	0	0	0	0	0	0	0.417	0	0	0	0	0.856	0	0	0	0.228	0	0	0	0	0	0	0.256	0	0	0.188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.339	0	0	0	0	0	0	-0.838	0	0	0	0.654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.788	0	0.252	0	0	0	0.564	0	0	0	0	0	0	0	0	0	0	0.665	0	0.489	0	0	0	0	0.214	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238	0	0	0	0	0	0	0	0	0	0.606	0	0	0.408	0	0.133	0	0	0	0	0	0	0	0	0	0	0.723	0.215	0	0	0	0	0	0	0	0	0	0	0	0	-0.689	0	0	0	0	0.601	0.648	0	0	0.115	0.112	0	0.222	0	0	0	0	0.544	0	0	0	0	0	0	0	0	0	0	0.69	0	0	0	0.265	0	0	0	0	0.43	0.632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.751	0	0	0	0	0	-0.135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.712	0	0	0	0	0	0	0	0	0	-0.253	0	0	0	0	0	0.482	0	0	0	0	0.138	0	0	0.702	0	0	0	0	0	0	0	0.867	0	-0.426	0	0	0	0.653	0	0	0	0.634	0.341	0	0	0	0.423	0	0	0	-0.775	0	0	0	0	0.367	0	0	0	0	0.138	0.745	0	0	0	0	0	0	0	-0.323
3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.465	0	0	-0.153	0	0	-0.663	0	0	0	0	0	-0.685	0	0	0	0	0	0	-0.14	0	0	0	0	0	-0.142	0	0	0	0	0.583	0	0	0	0	0	0	0	0.135	0	-0.417	0	0	0	0	0	0	-0.825	0	0	0	0.248	0	0	0	0	0	0	0	0.847	0	0	0	0	0	0	-0.168	0	0	0	0	0	0	0	0	0.419	0	0	0	0	0	0	0	-0.604	-0.63	0	-0.727	0	0	0	0	0	0	-0.431	-0.154	0	0	0	0	0	0	0	0	0	0	-0.914	0.778	0	0	0	0	0	0	0	0	-0.416	0	0	0	0	0.651	0	0	0	0	0	0	0	0.25	0	0	0	0	0.399	0	-0.523	0	0	0	0	0	0.672	-0.493	0	0	0	0	0	0	0	0	0	0	0	0	0.769	0	0	0	0	0	0.735	0	0	-0.379	0	0	0	0	-0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.102	0	0	0	0	0	0	0	0	0	0.686	0	0	0	0.429	0	0	0	0	0	0	0	0	0	0	-0.798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.557	0	0	0	-0.473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.129	0	0	0	-0.343	0	0	0	0	0.795	0.516	0	0	0	0	-0.241	0	0	0	0	0	0	0	0	0	0	0	0	0.57	0	0	0	0	0	0	0	0	-0.158	-0.782	0.75	0.58	0.455	0	0	-0.292	0.236	0	0	0	0.134	0	0	0	0	0	-0.725	0	0	0	0	0.983	0.464	0	0	0
3q	0	0	0.247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.279	0	0	0.78	0	0	-0.436	0	0	0	0	0	-0.685	0	0	0	0	0	0.851	-0.14	0	0	0	0	0	-0.142	0	0	0	0	0.583	0	0	0	0	0	0	0	0.135	0	-0.417	0	0	0	0	0	0	0	0	0	0	0.248	0	0	0	0	0	0	0	0.847	0	0	0	0	0	0	-0.168	0	0	0	0	0	0	0	0	0.419	0	0	0.462	0	0	0	0	0	0.4	0	-0.727	0	0	0	0	0	0	-0.431	-0.154	0	0	0	0	0	0	0	0	0	0	0	0.778	0	0	-0.416	0	0	0	0	0	0.123	0	0	0	0	0.651	0	0	0	0	0	0	0	0.25	0	0	0	0	0.399	0	0.719	0	0	0	0	0	0.672	0.454	0	0	0	0	0	0	0	0	0	0	0	0	0.769	0	0	0	0	0	0.735	0	0	0.046	0	0	0	0	-0.7	0	0	0	0	0	0	0	0	0.446	0	0	0	0	0	0	0	0.612	0	0	0	0	0	0	0	0	0	0	0	0.686	0	0	0	0.429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.577	0	0	0	0	0.157	0	0	0	0	0	0	-0.473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208	0	0	0	-0.343	0	0	0	0	0.795	0.516	0	0	0	0	0	0	0	0.345	0	0	0.525	0	0.933	0	0	0	0	0.374	0	0	0	0	0	0	0	0.669	-0.158	-0.782	0.75	0.58	0.685	0	0	0	0.236	0	0	0	0.134	0	0	0.102	0	0	-0.29	0	0	0	0	0.983	0.464	0	0	0
4p	0	-0.362	0.373	0	0	0	0	0	0	0	0	0	0	-0.523	0	0	-0.472	0	0	0	0	-0.284	0	0	0	0	0	0	0	0.067	0	0	-0.23	0	0	0	-0.963	0	0	0	0	-0.713	-0.531	0	0	0	0	0	-0.079	0	0	-0.285	0	0	0.282	0	0	0	0	-0.129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.91	0	0	0	0	0	0	0	0	0	0	-0.645	0	0	0	0	0	0	0	-0.191	0	0	0	0	0	0	0	0	-0.365	-0.136	0	-0.665	0	0	0	0	0	-0.252	0	-0.457	0	0	-0.856	0	0	0	-0.797	0.123	0	0	0	0	-0.655	0	0	0	0	0	0	0	0	0	-0.564	0	0	0	0	0	-0.149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.494	0	0	0	0	0	0	0	0	0.443	0	-0.241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.388	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.455	0.218	0	-0.211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.221	0	0	0	0	0	0	0	0	0	-0.213	0	0	0	0	0	0	0	0	0	-1.293	-0.456	-0.745	0	0	0	0	0	0	-0.783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.527	0	0	0	-0.384	0	0	0	0	0	0	0	0	0	0	-0.131	0	0	0	0	0	0	0	0.225	0	0	0	0	-0.158	0	0	0	0	0	0	0	-0.827	-0.163	-0.793	0	-0.604	0	0	0	0	0.153	0	0	0	-0.841	-0.251	0	0	0	0	0	0	0	0	0	0	-0.267	0	-0.339	0
4q	0	-0.362	0.373	0	0	0	0	0	0	0	0	-0.781	0	-0.523	0	0	-0.472	0	0	0	0	-0.284	0	0	0	0	0	0	0	-0.171	0	0	-0.23	0	0	0	0	0	0	0	0	-0.713	-0.531	0	0	0	0	0	-0.219	0	0	-0.285	0	0	0.088	0	0	0	0	-0.129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.191	0	0	0	0	0	0	0	0	-0.365	-0.136	0	-0.665	0	0	0	0	0	-0.252	0	-0.457	0	0	-0.856	0	0	0	0	-0.576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108	0	0	0	0	0	-0.149	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.137	0	0	0	-0.494	0	-0.548	0	0	0	0	0	0	0	0	-0.504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.388	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.455	0.218	0	-0.211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.221	0	0	0	0	0	0	0	0	0	-0.213	0	0	0	0	0	0	0	0	0	-1.293	-0.456	-0.745	0	0	0	0	0	0	-0.783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.527	0	0	0	-0.384	0	0	0	0	0	0	0	0	0	0	-0.131	-0.485	0	0	0	0	0	0	0	0	0	0	0	-0.158	0	0	0	0	0	0	0	-0.827	-0.163	-0.793	0	-0.604	0	0	0	0	0.153	0	0	0	-0.841	-0.251	0	0	0	0	0	0	0	0	0	0	-0.267	0	-0.514	0
5p	0	-0.377	0.208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.291	-0.666	0	0	0	0	0	0	0	0	0	-0.694	0	0	0	0	0	0	0	0	0	-0.554	0	0	0	0	-0.27	-0.777	0	0	-0.127	0	1.433	-0.489	0	0	0	0	-0.136	0	0	0	0	0	0	0	0.736	0	0.367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.685	0	0	0	0	0	0.764	0	0.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.175	0	0	0	-0.864	0	0	0	1.505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.536	0	0	0	0	0	-0.183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.756	0	-0.523	0	0	0	0	0.941	0	0.862	0	-0.636	0	0	0	0	0	0	0	0	0	0	0	0.217	0	0	0	0	0	0	0	0	0	0	0	0	0.114	0	0	0	0	0	0	0	0	-0.262	1.007	0	-0.161	0	0	0	0	0.574	0	0.194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.521	0	0.872	0	0	0	-0.183	-0.638	0	0	0	0	0	0	-0.672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.052	0.104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166	2.963	0	0.34	0	0	0	0	0.414	0	0.17	0	0	0.289	0	0	0	0	0	0	0	0	-0.161	-0.803	0	0.62	1.019	0	0	0	0	0	0	0	-0.618	0	0	0	0	0	0.132	0	0	0	0	0.395	0.517	0	0.095	0
5q	0	-0.377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.291	-0.666	0	0	0	0	0	0	0	0	0	-0.694	0	0	0	0	0	0	0	0	0	-0.554	0	0	0	0	-0.642	-0.777	0	0	0	0	0	-0.489	0	0	0	0	-0.136	0	0	0	0	0	0	0	0.736	0	0.367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.685	0	0	0	0	0	0.764	0	-0.233	0	0	0	0	0	0	0	0	-0.313	0	0	-0.658	0	0	0	0	0	0	0	0	0	0	-0.864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.536	0	0	0	0	0	-0.183	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.205	0	0	0	0.756	0	-0.523	0	0	0	0	0	0	-0.247	0	-0.636	0	0	0	0	0	0	0	0	0	0	0	0.217	0	0	0	0	0	0	0	-0.386	0	0	0	0	0.114	0	0	0	0	0	0	0	0	-0.484	-0.502	0	-0.483	0	0	0	0	0.574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.339	0	0	0	-0.376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.521	0	0.016	0	0	0	-0.183	0	0	0	0	0	0	0	-0.798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166	-0.539	0	0.34	0	0	0	0	0.205	0	0	0	0	0.176	0	0	0	0	0	0	0	0	-0.161	-0.803	0	0.029	1.019	0	0	0	-0.792	0	0	0	-0.618	-0.135	0	0	0	0	-0.154	0	0	0	0	0.395	0	0	-0.236	0
